code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
690,SYC,Seychelles,2005,27.5,69.52,NA,100,80,26.83,22.14,33.06,NA,NA,15.79,96.5,42.26,75.01,72.4,100,100,40,95.47,3.96,62.67,98.83,80,66.1,40,72.42,26.83,55.63,-911,3.96,81.64,37.07,54.9
694,SLE,Sierra Leone,2005,10.5,0,100,NA,8.07,NA,NA,NA,NA,18.52,17.87,3.5,0,25.62,4.1,100,98.92,12,32.56,0,6.5,67.47,8.07,3.25,56,9.91,-911,25.22,18.52,0,26.27,12.87,18.23
702,SGP,Singapore,2005,71,99.11,NA,NA,100,86.85,90,0,81.37,NA,0,95,82.04,28.47,28.47,100,100,96,0,99.65,100,98.33,100,99.55,96,46.33,86.85,0,-911,99.65,99.3,70.01,81.72
703,SVK,Slovakia,2005,100,94.95,16.7,NA,89.82,72.48,90,39.14,53.21,21.31,NA,96.5,NA,84.33,91.11,65.47,37.77,88,NA,57.64,97.85,66.58,89.82,96.4,52.35,84.33,72.48,-911,21.31,57.64,84.27,64.85,72.61
705,SVN,Slovenia,2005,100,100,9.75,NA,99.84,54.59,54.68,21.68,58.47,45.05,NA,92,NA,100,100,66.44,32.73,92,NA,53.99,91.97,63.73,99.84,95.98,50.88,100,54.59,-911,45.05,53.99,86.52,65.77,74.07
90,SLB,Solomon Islands,2005,17.5,3.54,100,0,47.99,NA,NA,NA,NA,35.07,36.62,11,39.34,3.41,3.41,100,100,12,99.77,0,25.68,70.33,47.99,14.61,56,11.54,-911,68.19,35.07,0,44.31,21.35,30.53
706,SOM,Somalia,2005,27.5,2.25,100,0,15.25,NA,NA,NA,NA,NA,0,3.5,0,3.43,3.56,100,96.04,0,0,3.96,0,66.51,15.25,1.13,50,1.75,-911,0,-911,3.96,27.63,6.04,14.68
710,ZAF,South Africa,2005,74.5,24.06,25.8,75,38.72,49.87,52.04,56.54,38.54,100,9.65,80,66.38,38.22,42.62,100,100,88,0,27.86,40.55,93.33,38.72,32.3,56.9,55.55,49.87,4.82,100,27.86,54.79,46.65,49.9
410,KOR,South Korea,2005,91.5,100,0,NA,91.74,41.55,43.55,11.91,41.53,33.76,15.65,100,78.45,33.36,33.36,47.71,19.06,68,20.42,83.68,62.12,55.59,91.74,81.06,34,48.39,41.55,18.03,33.76,83.68,76.13,50.29,60.62
724,ESP,Spain,2005,100,99.65,22.34,NA,93.74,81.84,77.96,69.8,89.97,45.05,25.84,95,73.21,50.34,46.11,100,88.13,92,27.96,92.83,98.92,94.38,93.74,99.29,57.17,56.56,81.84,26.9,45.05,92.83,95.8,67.86,79.04
144,LKA,Sri Lanka,2005,83,36.98,78.7,35,78.45,54.62,76.3,49.27,64.84,33.76,18.75,22.5,53.45,85.21,97.14,100,100,84,75.53,0,33.95,74.17,78.45,35.47,81.35,67.7,54.62,47.14,33.76,0,62.7,42.74,50.72
736,SDN,Sudan,2005,27,2.71,8.07,NA,26.64,NA,NA,NA,NA,NA,17.24,14,40.28,5.77,2.81,100,99.28,76,42.35,0,10.09,71.09,26.64,6.4,42.04,16.29,-911,29.79,-911,0,34.71,14.08,22.33
740,SUR,Suriname,2005,100,34.15,100,NA,59.92,52.76,82.78,40.15,NA,63.12,25.53,84.5,83.67,57.55,83.9,100,100,72,33.96,0.01,44.62,94.83,59.92,39.39,86,75.04,52.76,29.75,63.12,0.01,64.71,45.54,53.21
748,SWZ,Swaziland,2005,33.5,13.83,100,NA,23.77,14.04,68.53,13.59,NA,52.35,NA,40,NA,17.69,17.41,100,100,4,NA,55.5,11.58,80,23.77,12.7,52,17.69,14.04,-911,52.35,55.5,38.83,32.93,35.29
